Event Name,Event Date
CruzHacks,Jan 15th - 17th
Elle Hacks,Jan 15th - 17th
Hack the North ,Jan 15th - 17th
Hack the Northeast Beyond,Jan 15th - 17th
SB Hacks,Jan 15th - 17th
HackDavis,Jan 16th - 18th
Rose Hack,Jan 16th - 17th
BoilerMake,Jan 22nd - 24th
Hack Your Portfolio,Jan 22nd - 24th
QHacks,Jan 22nd - 24th
TechTogether Seattle,Jan 22nd - 24th
CUNY Hackathon,Jan 23rd - 24th
Hex Cambridge 2021,Jan 23rd - 24th
QWER Hacks,Jan 23rd - 24th
cuHacking,Jan 29th - 31st
Hoya Hacks,Jan 29th - 31st
SwampHacks,Jan 29th - 31st
CUhackit,Jan 30th - 31st
HackViolet,Jan 30th - 31st
Hacklytics ,Feb 5th - 7th
KU HackFest 2021,Feb 19th - 21st
Pearl Hacks,Feb 19th - 21st
BrickHack 7,Feb 20th - 21st
StormHacks,Feb 20th - 21st
Hackcation,Jul 3rd - 5th
"New hack, who this?",Jul 10th - 12th
VandyHacks Summer Edition ,Jul 10th - 12th
HackItShipIt,Jul 17th - 19th
SigmaHacks 2.0,Jul 24th - 26th
Hacky Birthday MLH!,Jul 25th - 26th
HobbyHacks,Jul 25th - 26th
To the Moon and Hack,Jul 31st - Aug 2nd
HAC HackAgainstCovid,Aug 7th - 9th
Roll for Hacking,Aug 7th - 9th
Garuda Hacks,Aug 14th - 16th
YeeHaw Hacks,Aug 14th - 16th
Hack'20,Aug 15th - 16th
Hack The 6ix,Aug 21st - 23rd
MHacks,Aug 21st - 23rd
HackMTY,Aug 29th - 30th
Suns Out Hacks Out,Aug 29th - 30th
First Day Back Hacks,Sep 4th - 6th
MedHacks,Sep 4th - 6th
Delhi Hacks,Sep 5th - 6th
Hack Kosice,Sep 5th - 6th
Bon Hackï¿½tit,Sep 11th - 13th
HopHacks,Sep 11th - 13th
Aye Aye Hackers,Sep 18th - 20th
GrizzHacks,Sep 18th - 20th
HackRice,Sep 18th - 20th
Silly Hacks,Sep 18th - 20th
BorderHacks,Sep 25th - 27th
SBUHacks,Sep 25th - 26th
ShellHacks,Sep 25th - 27th
"New Friends, New Hacks",Sep 26th - 27th
Ramhacks,Sep 26th - 27th
IvyHacks,Oct 1st - 4th
HeroHacks,Oct 2nd - 4th
MiamiHacks,Oct 2nd - 4th
VandyHacks,Oct 2nd - 4th
MakeUC,Oct 3rd - 4th
IdeaHack! 2020,Oct 9th - 11th
Knight Hacks,Oct 9th - 11th
MakeSPP,Oct 9th - 11th
sunhacks,Oct 9th - 11th
GirlHacks,Oct 10th - 11th
HacktheMountains,Oct 10th - 11th
"Lights, Camera, Hacktion",Oct 10th - 11th
WEHack,Oct 10th - 11th
HackGT,Oct 16th - 18th
HackNC,Oct 16th - 18th
Hackrithmitic,Oct 16th - 18th
DubHacks,Oct 17th - 18th
Girls Hoo Hack,Oct 17th - 18th
HackTheU,Oct 17th - 18th
OwlHacks,Oct 17th - 18th
TAMU Datathon,Oct 17th - 18th
Local Hack Day: Learn,Oct 18th - 24th
HackTheMidlands,Oct 22nd - 25th
Columbia DivHacks,Oct 23rd - 25th
DandyHacks,Oct 23rd - 25th
DemonHacks,Oct 23rd - 25th
HackTX,Oct 23rd - 25th
The Pitt Challenge,Oct 23rd - 25th
Kent Hack Enough,Oct 24th - 25th
Technica,Oct 24th - 25th
UB Hacking,Oct 24th - 25th
Hack or Treat?,Oct 30th - Nov 1st
AgriTech Hackathon,Nov 6th - 8th
Hack K-State,Nov 6th - 8th
HackPSU,Nov 6th - 8th
Hacks and Craft,Nov 6th - 8th
TechTogether Boston,Nov 6th - 8th
TigerHacks,Nov 6th - 8th
hackCBS 3.0,Nov 7th - 8th
HackHolyoke,Nov 7th - 8th
HackNJIT,Nov 7th - 8th
hackPHS,Nov 7th - 8th
HackRPI,Nov 7th - 8th
HackRU,Nov 7th - 8th
hackSheffield,Nov 7th - 8th
NewHacks,Nov 7th - 8th
WHACK,Nov 7th - 8th
Code.Jam(2020),Nov 13th
Creatica,Nov 13th - 15th
Do-Re-Mi Hacks,Nov 13th - 15th
HackUMBC,Nov 13th - 15th
BostonHacks,Nov 14th - 15th
Def Hacks Global 2.0,Nov 14th - 15th
Oxford Hack 2020,Nov 14th - 15th
Give Back Hacks,Nov 20th - 22nd
Hack Western,Nov 20th - 22nd
UniHack,Nov 20th - 22nd
WWPHacks,Nov 21st - 22nd
Who Wants To Be A Hackionaire?,Nov 27th - 29th
SharkHacks,Dec 4th - 6th
TechTogether New York,Dec 4th - 6th
Code for Good,Dec 5th - 6th
Who Done It Hacks?,Dec 11th - 13th
Hack Off v3.0,Dec 12th - 13th
HackUMass,Dec 18th - 20th
Winter Hacklympics,Dec 18th - 20th
Execute,Dec 19th - 20th
Holiday Hacks,Dec 25th - 27th
New Year New Hack,Jan 1st - 3rd
SheHacks,Jan 8th - 10th
Snakes and Hackers,Jan 8th - 10th
nwHacks,Jan 9th - 10th
Local Hack Day: Build,Jan 10th - 18th
